
#S 84  LISAKscan2 energy Edge Tint dPoint iMach
#D Sat Jun 08 18:07:28 2024
#T 2  (Seconds)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G3 0 0 0 0 0 0 0 0 0
#G4 0
#Q 
#P0  11.199983 10.170212 8.5778827 0 -3.395 5.395125 1.0641
#P1 61.064425 62.1285 30 2 -4.395 67.999998 23.999999 1443.3495
#P2 49.150794 -0.33209877 0.32 0.17777778 54 60.000028 13.4 -12.5
#P3 101.7 50.479531 131.35 44.999997 0.01 -1 -10 74
#P4 0 300 300 -38.799855 7.6197105 
#UMI0     Current AutoM      Shutter    
#UMI1      199.34    ON     FE open     
#UMI2 Refill in 3153 sec, Fill Mode: 7/8 multibunch / Message: Jun  8 18:01 Delivery:Next Refill at 19:00; 
#N 44
#L energy    Epoch  ebragg  epitch  srcur  I0_eh2  I1_eh2  IX_eh2  IR_eh2  c8  VPOS_enc  HPOS2_enc  RBENCH_enc  EBENCH_enc  ROT_enc  HPOS1_enc  fluo01  fluo02  fluo03  fluo04  fluo05  fluo06  fluo07  fluo08  fluo09  fluo10  fluo11  fluo12  fluo13  I0_eh1  I1_eh1  IX_eh1  c9  volt1  volt2  sdd  ebraggc  e1pv  e1sp  e1op  e1wsp  Oxford503  Seconds  Seconds
11.303538  210364.681 8288455 38100307 197.79371 238051 103991 70542 0 0 -17820 -5703 -15005 147056 -76 -2354 271128.06 578094.29 315882.49 0 516897.14 528090.85 553521.41 530645.91 529389.13 301089.36 590181.01 339846.25 0 41312 0 2000028 0 0.0073244423 -0.0048829615 0 8288466.8 0 0 0 0 0 2.000001 2.000001
11.306326  210368.080 8286391 38100307 197.78487 237893 104084 70900 0 0 -17820 -5703 -15005 147056 -76 -2354 270756.94 577152.65 316279.84 0 515945.99 527439.58 555589.51 532714.53 530366.83 302204.49 590161.1 340073.96 0 41279 0 2000028 0 0.0073244423 -0.0048829615 0 8286405.7 0 0 0 0 0 2.000001 2.000001
11.309115  210371.486 8284330 38100308 197.78031 237843 104201 70592 0 0 -17820 -5703 -15005 147056 -76 -2354 273899.62 582292.5 317877.71 0 519329.01 528882.51 557253.96 534564.07 532378.48 302765.85 592614.3 342755.3 0 41268 0 2000027 0 0.0073244423 -0.0048829615 0 8284342.3 0 0 0 0 0 2.000001 2.000001
11.311905  210374.891 8282373 38100307 197.77085 237805 104292 70152 0 0 -17820 -5703 -15005 147056 -76 -2354 271844.17 582888.27 318675.06 0 518097.22 531316.95 559273.24 535827.92 531945.81 299590.32 594750.38 341244.38 0 41258 0 2000027 0 0.0073244423 -0.0048829615 0 8282384 0 0 0 0 0 2.000001 2.000001
11.314741  210378.313 8280342 38100307 197.76115 237701 104345 69560 0 0 -17820 -5703 -15005 147056 -76 -2354 268847.14 582039.2 320324.99 0 519416.68 533510.7 561041.8 537527.53 531741.81 305234.86 597854.79 342300.68 0 41237 0 2000028 0 0.0073244423 -0.0048829615 0 8280354.1 0 0 0 0 0 2.000001 2.000001
11.317579  210381.730 8278233 38100307 197.75647 237630 104418 69214 0 0 -17820 -5703 -15005 147056 -76 -2354 276559.74 584865.02 322834.05 0 524370.45 532942.92 565657.32 541050.38 538612.56 304855.94 600349.15 345986.56 0 41219 0 2000027 0 0.0073244423 -0.0048829615 0 8278248 0 0 0 0 0 2.000001 2.000001
11.320462  210385.117 8276165 38100307 197.74745 237554 104502 68954 0 0 -17820 -5703 -15005 147056 -76 -2354 275273.43 589208.18 322569.38 0 525797.78 537942.76 565969.42 541946.15 539312.09 306886.55 599557.67 346565.29 0 41203 0 2000027 0 0.0073244423 -0.0048829615 0 8276177.6 0 0 0 0 0 2.000001 2.000001
11.323347  210388.537 8274107 38100308 197.73914 237447 104568 68533 0 0 -17820 -5703 -15005 147056 -76 -2354 269493.46 590904.58 324556.1 0 523911.49 536329.15 567522.46 545955.89 536825.74 307091.6 604256.55 346420.61 0 41184 0 2000027 0 0.0073244423 -0.0048829615 0 8274119.3 0 0 0 0 0 2.000001 2.000001
11.326277  210391.925 8271942 38100307 197.73008 237357 104711 68325 0 0 -17820 -5703 -15005 147056 -76 -2354 272842.43 592332.08 324046.87 0 523511.45 537268.27 567296.47 544126.13 536248.55 292902.38 604829.08 347938.09 0 41163 0 2000027 0 0.0073244423 -0.0048829615 0 8271957.3 0 0 0 0 0 2.000001 2.000001
11.32921  210395.317 8269824 38100307 197.72541 237249 104903 68751 0 0 -17820 -5703 -15005 147056 -76 -2354 280863.16 589015.17 322629.42 0 527923.94 538328.04 565358.1 544753.25 537877.71 305018.07 606214.18 349330.45 0 41142 0 2000028 0 0.0073244423 -0.0048829615 0 8269837.7 0 0 0 0 0 2.000001 2.000001
